Streamer_ID,Avg_Viewers,Peak_Viewers,Genre_Type,Donation_Amount,Hours_Streamed,Platform_Type
1001.0,626.38,39.26,6.23,48.23,219.55,Unknown
1002.0,827.44,21.69,0.01,36.58,697.08,Low
1003.0,627.32,89.24,3.25,83.39,165.62,Unknown
,616.2,73.08,4.68,15.83,87.19,High
1005.0,166.06,23.88,9.27,44.28,197.67,Unknown
1006.0,398.53,55.4,6.62,12.62,641.77,Low
,371.82,45.84,4.41,72.3,543.37,Unknown
1008.0,17.88,8.96,0.95,55.37,355.2,Low
1009.0,705.33,61.5,1.27,61.02,173.37,Medium
1010.0,902.69,53.71,8.79,55.04,698.45,High
1011.0,653.49,48.79,9.91,74.78,161.92,Low
1012.0,218.52,59.59,6.36,56.6,92.94,Medium
1013.0,190.1,19.91,4.24,22.69,552.57,Low
1014.0,923.82,99.25,0.05,70.09,634.61,Low
1015.0,663.49,16.08,2.91,0.56,731.35,Low
1016.0,802.57,35.06,6.1,64.14,230.96,Unknown
1017.0,797.7,29.09,9.56,19.67,,Medium
1018.0,658.02,,1.83,66.62,875.91,Unknown
1019.0,125.48,27.01,6.28,60.2,177.32,Low
1020.0,649.66,15.29,0.66,90.54,842.8,Medium
1021.0,410.77,0.52,0.84,17.01,253.1,Low
1022.0,428.56,34.99,3.22,47.65,630.6,Low
1023.0,117.95,24.97,9.1,0.99,597.3,Low
1024.0,52.0,38.02,9.27,38.54,252.39,High
1025.0,280.25,38.87,7.41,31.22,880.65,High
1026.0,797.49,60.06,4.44,28.92,208.91,High
1027.0,243.93,60.31,9.04,30.3,,High
,413.57,24.48,9.25,69.49,957.99,Low
1029.0,586.45,6.28,1.3,13.76,188.73,Unknown
1030.0,404.64,70.0,9.45,98.06,595.3,Unknown
1031.0,435.22,68.0,9.67,50.56,170.22,
1032.0,22.06,29.91,6.54,52.15,952.26,Unknown
1033.0,994.66,58.98,9.83,76.61,936.54,Medium
1034.0,956.56,3.02,0.94,94.31,12.1,Low
1035.0,513.15,46.17,9.62,31.89,876.07,High
1036.0,309.76,88.58,8.23,58.75,848.99,Low
1037.0,7.71,18.06,0.41,86.33,,Unknown
1038.0,957.01,41.5,4.5,10.23,985.18,High
1039.0,62.44,52.86,4.12,76.84,872.77,High
1040.0,552.57,15.65,0.73,85.71,814.08,Low
1041.0,987.0,65.8,4.61,8.13,343.56,High
1042.0,394.16,29.93,2.42,91.83,953.02,High
1043.0,394.3,14.42,1.41,93.4,224.55,Medium
1044.0,762.27,13.75,4.38,19.72,856.75,High
1045.0,837.09,,8.25,21.18,605.27,Low
1046.0,739.66,51.58,5.36,,496.51,Medium
1047.0,976.08,36.48,2.33,56.23,978.3,Medium
1048.0,683.15,0.79,0.02,64.82,648.21,Medium
1049.0,512.13,11.06,8.46,16.74,651.23,Low
1050.0,34.1,,6.92,80.71,940.38,High
1051.0,998.15,5.76,1.02,23.99,569.25,Unknown
1052.0,415.45,41.77,7.14,41.28,199.78,Medium
1053.0,,32.03,6.53,23.89,329.94,
1054.0,135.69,71.42,4.43,34.68,318.51,Low
1055.0,526.88,42.56,9.04,71.38,387.87,Unknown
1056.0,602.58,78.72,8.71,84.8,319.17,High
1057.0,1.05,76.09,1.37,17.29,338.88,Unknown
1058.0,740.22,96.8,0.35,44.12,75.07,Unknown
1059.0,284.81,9.23,7.1,3.05,496.8,Low
1060.0,222.51,56.1,9.83,95.56,256.01,Low
1061.0,430.57,80.75,4.35,52.93,338.47,Medium
1062.0,61.32,29.39,3.05,40.98,0.02,Medium
1063.0,704.53,7.68,1.15,,86.75,Low
1064.0,592.85,78.01,6.27,48.15,213.49,High
1065.0,547.76,39.42,9.32,76.15,923.61,Low
1066.0,267.9,79.86,6.77,,300.3,Unknown
1067.0,73.24,22.34,8.05,15.21,357.14,High
1068.0,360.48,68.1,0.42,54.49,208.38,Unknown
1069.0,594.08,36.14,6.84,83.89,686.76,Low
1070.0,421.2,89.83,6.65,41.29,33.4,Medium
1071.0,103.85,21.95,9.32,64.58,598.92,Low
1072.0,136.42,72.98,0.89,66.51,450.87,Low
1073.0,156.48,42.51,2.96,65.31,580.4,Low
1074.0,634.85,72.97,4.76,18.01,723.02,Unknown
1075.0,796.62,27.16,,12.08,764.16,Low
1076.0,265.45,97.35,8.21,93.24,543.55,Unknown
1077.0,104.76,30.9,4.23,40.01,315.8,Unknown
1078.0,556.35,40.0,0.07,50.54,1.7,Low
1079.0,815.22,27.08,1.75,15.45,844.91,Low
1080.0,450.26,9.22,8.94,3.57,17.4,High
1081.0,710.32,75.64,5.38,5.84,35.77,Low
1082.0,628.12,,0.68,32.11,827.59,Medium
1083.0,942.09,67.65,7.35,32.36,566.68,High
1084.0,647.42,34.59,7.2,,617.8,High
1085.0,933.95,26.68,2.85,59.57,540.43,High
1086.0,442.16,85.95,2.31,45.56,738.28,High
1087.0,7.39,33.63,5.19,59.07,820.75,Low
1088.0,737.53,3.04,8.76,37.51,641.34,High
1089.0,879.87,14.28,7.39,89.11,116.03,Medium
1090.0,392.85,52.14,2.11,9.54,164.7,Low
1091.0,,75.26,2.33,49.74,826.89,Unknown
1092.0,880.72,3.84,1.98,14.41,472.91,Unknown
,612.1,13.41,7.31,44.91,104.72,Unknown
1094.0,160.88,86.26,0.51,42.29,947.33,Medium
1095.0,429.22,83.5,7.93,91.64,95.1,Unknown
1096.0,783.07,,8.9,,12.49,Low
1097.0,847.57,62.96,6.99,20.64,137.91,Low
1098.0,158.95,58.73,,54.63,248.04,
1099.0,969.75,21.92,2.94,35.73,176.22,Low
1100.0,650.77,23.24,3.25,44.27,778.78,High
1101.0,861.55,60.43,1.73,75.86,307.38,Unknown
1102.0,229.19,43.32,5.62,67.99,927.33,Unknown
1103.0,611.78,62.86,8.33,26.39,600.5,Unknown
1104.0,95.17,52.59,5.31,94.78,329.02,
1105.0,924.54,40.32,,81.93,797.44,Medium
1106.0,527.03,15.31,9.54,26.67,12.93,Low
1107.0,518.92,62.06,9.01,84.86,458.88,High
1108.0,525.18,24.89,1.89,60.21,928.7,High
1109.0,356.05,50.36,9.22,82.81,237.21,Medium
1110.0,849.94,83.28,4.86,18.52,629.28,Medium
1111.0,205.33,63.13,0.78,84.46,971.23,Unknown
1112.0,946.06,19.27,1.83,62.4,176.03,
1113.0,433.07,76.3,7.37,87.91,869.52,Medium
1114.0,537.53,33.68,6.08,19.22,646.79,Medium
1115.0,470.38,97.34,3.95,1.37,309.87,High
1116.0,316.75,69.72,5.47,57.18,801.43,Unknown
1117.0,531.37,10.0,5.69,43.2,180.89,High
1118.0,431.66,2.41,2.88,19.71,639.2,Unknown
1119.0,493.75,,2.12,82.56,884.75,Medium
1120.0,221.35,29.85,4.07,76.26,59.2,Medium
1121.0,933.42,76.11,,6.66,973.18,Unknown
1122.0,733.12,79.91,9.75,66.37,2.68,High
1123.0,862.95,78.7,9.57,24.09,970.19,Medium
1124.0,249.89,10.08,0.14,0.21,900.76,Unknown
1125.0,862.66,0.38,9.32,54.7,282.01,Medium
1126.0,440.18,48.84,9.78,97.7,729.16,High
1127.0,482.14,94.43,6.16,55.16,688.9,Unknown
1128.0,716.48,14.54,0.5,64.34,973.74,High
1129.0,929.12,58.64,8.1,36.63,446.79,Medium
1130.0,562.23,18.69,8.66,70.33,519.66,Low
1131.0,391.89,58.43,8.21,22.36,200.06,Unknown
1132.0,733.52,,8.03,47.02,,Low
1133.0,139.82,69.2,8.9,50.19,154.92,Low
1134.0,850.98,22.29,4.63,80.77,349.03,Unknown
1135.0,390.07,5.32,8.23,42.4,849.54,Medium
1136.0,705.81,31.92,6.37,56.7,,High
1137.0,926.79,21.28,,51.79,403.07,Unknown
1138.0,,45.78,3.33,57.59,871.02,Medium
1139.0,313.24,65.01,0.84,47.99,611.68,Unknown
1140.0,780.59,31.78,8.98,75.6,983.78,High
1141.0,874.98,10.87,8.84,11.83,456.94,Medium
1142.0,309.89,64.26,6.26,31.76,735.99,Medium
1143.0,806.22,31.12,9.0,21.02,863.09,High
1144.0,670.49,52.26,0.34,29.57,718.73,High
1145.0,462.63,93.9,2.92,98.33,469.52,Unknown
1146.0,678.46,77.96,3.21,77.49,809.7,Unknown
1147.0,842.24,41.29,5.14,99.89,281.83,Low
1148.0,240.02,49.39,7.45,24.01,687.15,Medium
1149.0,671.62,92.36,0.08,11.06,80.87,Unknown
1150.0,47.8,79.38,3.92,1.38,443.77,High
1151.0,445.05,78.17,2.58,14.57,234.97,Unknown
1152.0,497.12,25.06,9.58,20.59,139.04,High
1153.0,73.56,,6.01,73.78,611.91,High
1154.0,328.15,5.53,4.1,76.82,,Unknown
1155.0,42.89,92.12,8.7,7.24,149.45,Medium
1156.0,729.47,36.3,2.92,,308.56,High
1157.0,3.21,22.47,7.46,80.39,982.58,Unknown
1158.0,948.74,0.9,5.82,71.93,6.28,High
1159.0,879.07,77.2,6.48,61.41,858.59,Medium
1160.0,157.82,28.53,1.33,19.19,101.72,Medium
1161.0,625.91,0.18,0.88,64.38,616.79,Low
1162.0,824.84,46.44,3.77,12.75,517.93,Unknown
1163.0,774.77,54.57,7.2,21.36,852.09,Low
1164.0,842.68,18.14,6.31,61.91,,Medium
1165.0,219.01,64.44,4.74,83.33,964.17,Medium
1166.0,850.35,15.41,2.3,80.59,429.76,
1167.0,457.75,22.99,0.35,40.8,553.49,High
1168.0,969.47,39.33,1.54,6.68,540.45,Unknown
1169.0,78.81,87.33,9.73,60.13,25.9,Unknown
1170.0,183.6,25.46,6.24,30.85,936.7,Medium
1171.0,416.71,59.57,0.03,59.94,166.83,Low
1172.0,536.3,27.25,9.43,43.87,,Unknown
1173.0,607.13,52.77,3.91,75.84,833.83,High
1174.0,756.84,21.57,3.92,18.81,486.86,Medium
1175.0,65.72,32.22,,89.06,804.46,Medium
1176.0,998.15,28.94,1.17,0.43,425.41,Low
1177.0,277.58,1.22,9.89,22.27,90.91,Low
1178.0,97.9,,5.75,91.62,939.15,Unknown
1179.0,226.95,94.52,6.06,54.31,211.49,Low
1180.0,248.32,56.35,1.1,68.49,132.58,Unknown
1181.0,150.6,36.12,4.57,68.79,29.54,Medium
1182.0,162.89,,3.72,82.38,298.69,High
1183.0,700.83,94.45,1.43,44.26,374.43,Unknown
1184.0,692.5,55.32,0.5,78.64,270.28,Low
1185.0,114.38,50.26,3.82,25.94,699.53,Low
1186.0,5.34,88.14,1.47,52.0,700.93,Medium
1187.0,27.04,94.42,2.14,55.16,155.71,Unknown
1188.0,403.19,96.53,5.95,14.94,801.09,High
1189.0,565.26,62.34,8.2,92.28,251.57,High
1190.0,892.63,69.68,8.48,38.64,940.09,
1191.0,505.53,93.28,7.68,32.28,43.09,Unknown
1192.0,825.72,42.44,5.96,21.38,920.29,Medium
1193.0,400.03,47.7,2.43,91.76,354.52,Medium
1194.0,735.11,27.0,5.45,5.56,518.62,Medium
1195.0,429.81,71.19,3.2,20.39,242.68,High
,623.1,66.37,8.55,34.25,129.78,Unknown
1197.0,210.17,89.74,3.23,38.93,723.39,Medium
1198.0,477.72,18.05,2.72,19.33,3.42,Unknown
1199.0,465.92,81.87,5.92,68.21,824.48,Unknown
1200.0,587.71,41.57,7.25,16.39,996.37,Low
1201.0,294.87,46.14,,,621.84,Medium
1202.0,462.51,45.2,0.18,73.31,254.64,Medium
,,7.84,6.74,98.99,32.85,Medium
1204.0,,51.47,7.66,57.67,605.43,Medium
1205.0,168.41,73.76,7.05,92.55,7.56,Medium
1206.0,732.68,78.58,3.46,68.88,337.14,Medium
1207.0,930.82,79.78,2.02,25.52,888.83,High
1208.0,228.81,10.39,2.45,24.56,512.6,Medium
1209.0,875.11,80.8,7.58,54.9,542.63,Unknown
1210.0,301.52,44.93,8.88,3.75,278.08,Medium
1211.0,723.04,44.71,0.63,10.03,696.46,Medium
1212.0,809.2,2.96,8.67,37.0,935.59,Medium
1213.0,22.25,17.18,5.29,58.57,921.56,High
1214.0,210.04,48.47,8.27,47.18,229.26,Unknown
1215.0,519.1,98.63,4.24,95.65,290.04,Low
1216.0,58.36,76.98,9.47,50.42,978.83,Unknown
1217.0,970.13,33.91,2.95,37.0,503.21,Unknown
,852.52,44.73,7.06,74.23,701.05,Low
